ds_sale_price_formula,ds_purchase_price_formula,ds_material_alias,vl_quantity_sell,vl_unit_price_sell,cd_alias_language,cd_product_id,lower(ds_category_en),lower(ds_record_type_name)
"","","Electronic scrap, miscellaneous",64.00,0.070000,en,18059,electronics,retail
"","",Class 3 circuit boards,6.00,2.057143,en,18045,pcbs,retail
"","",Class 3 circuit boards,0.80,0.201429,en,18045,pcbs,retail
"","","Copper, miscellaneous, low-grade, old",5.90,3.989042,en,18024,copper,retail
"","","Copper Cable, min. 38% Cu",39.00,1.460000,en,18028,cables,retail
"","","Aluminium cable, no iron",12.00,1.250000,en,10019,aluminium,retail
"","","Copper Cable, min. 38% Cu",6.10,1.440000,en,18028,cables,retail
"","","Brass, miscellaneous",2.20,2.600000,en,18036,yellow brass,retail
"","","Electronic scrap, miscellaneous",2.30,0.090000,en,18059,electronics,retail
"","",Scrap soft lead,5.50,1.250952,en,19556,lead,retail
"","",Disc drives,0.04,7.170000,en,18055,pc components,retail
"","",Copper cable with plug,1.40,0.900000,en,18029,cables,retail
"","","Aluminium profiles, painted",18.00,1.080000,en,18002,aluminium,retail
"","","Copper Cable, min. 38% Cu",2.80,1.410000,en,18028,cables,retail
"","","Brass, miscellaneous",5.40,2.550000,en,18036,yellow brass,retail
"","","Bright copper, no 2, sparkplugs",4.60,4.470000,en,18023,copper,retail
"","",Power supplies,1.50,0.220000,en,18056,pc components,retail
"","","Copper, miscellaneous, low-grade, old",1.50,4.140000,en,18024,copper,retail
"","","Cast aluminium, old",1.80,0.920000,en,18014,aluminium,retail
"","","Copper Cable, min. 38% Cu",5.00,1.450000,en,18028,cables,retail
"","","Brass, miscellaneous",9.20,2.390000,en,18036,yellow brass,retail
"","","Aluminium profiles, bare (new)",5.00,1.220000,en,18001,aluminium,retail
"","","Aluminium, miscellaneous",4.70,0.680000,en,18003,aluminium,retail
"","","Bright copper, no 1, Millberry",202.00,4.940000,en,18025,copper,retail
"","","Aluminium profiles, bare (new)",23.40,1.330000,en,18001,aluminium,retail
"","","Aluminium profiles, painted",4.10,1.160000,en,18002,aluminium,retail
"","","Cast aluminium, old",2.50,0.910000,en,18014,aluminium,retail
"","",Hartmetall Wendeschneidplatten,0.11,11.940000,de,18017,tungsten carbide,retail
"","","Bright copper, no 2, sparkplugs",5.70,4.617282,en,18023,copper,retail
"","","Bright copper, no 1, Millberry",29.00,4.340000,en,18025,copper,retail
"","","Stainless steel, V2a, nirosta, niro",9.10,0.750000,en,18037,stainless steel,retail
