fk_material_alias,lower(txt_price_formula)
a0g09000001F4tqAAC,lme -240€/mt
a0g9N0000000Ff6QAE,102% average lme previous month of delivery
a0g9N0000000Ff6QAE,2010 €/t
a0g9N000000068AQAQ,+90 usd
a0g09000001F4wjAAC,19000
a0g09000001F4tIAAS,fixpreis
a0g09000001F4tMAAS,fixpreis
a0g09000001F4wjAAC,fixpreis
a0g09000001F4tIAAS,20000
a0g09000001F4tMAAS,19000
a0g09000001F4u5AAC,"94,75% lme"
a0g09000001F4qjAAC,1900 €/t
a0g09000001F4vjAAC,301€/mt
a0g09000001F4vfAAC,367€/mt
a0g09000001F4y4AAC,lme - 225 eur/mt
a0g09000001F4qaAAC,vdm aluminiumguss - 250 €/to
a0g09000001F4vuAAC,500 €/t
a0g09000001F4vuAAC,1160
a0g09000001F4vfAAC,367€/mt
a0g09000001F4vfAAC,302€/mt
a0g09000001F4tpAAC,98.75%
a0g9N0000000KIHQA2,89% lme
a0g09000001F4tYAAS,lme - 165
a0g09000001F4tXAAS,98% lme
a0g09000001F4xWAAS,spot lme 2010+20€
a0g09000001F4xWAAS,lme m-1 +120
a0g9N0000000KIHQA2,1.414
a0g9N0000000KIHQA2,1414 €/t
a0g09000001F4wvAAC,fixed price
a0g9N00000024GXQAY,lme -150
a0g9N0000000y7HQAQ,65% - 120 usd/mt
a0g9N0000000y7HQAQ,5330 usd/mt
a0g09000001F4tXAAS,lme - 285
a0g09000001F4y4AAC,lme - 90 eur/mt
a0g9N0000000680QAA,lme +140
a0g09000001FmHkAAK,lme -200
a0g09000001F4vGAAS,fixed price
a0g09000001F4qHAAS,2 000
a0g09000001F4tpAAC,lme-165
a0g09000001F4qHAAS,1 935€/t
a0g09000001F4qHAAS,al-lme 102%
a0g9N0000000Ff1QAE,1 960 €/t
a0g9N0000000Ff6QAE,102% averge previous month of delivery
a0g09000001F4rnAAC,lme - 95 eur/mt
a0g9N0000003O5YQAU,lme - 200
a0g09000001F4tXAAS,lme - 80 eur/mt
a0g09000001F4vVAAS,lme-200
a0g09000001F4vVAAS,1700eu/mt
a0g09000001F4vVAAS,1700 €/mt
a0g9N0000000BTmQAM,avg. cash lme nov. + 175€/mt
a0g9N0000001rxvQAA,92% lme
a0g9N0000000KHxQAM,785
a0g9N0000000WMEQA2,lme-30
a0g09000001F4vtAAC,.
a0g09000001F4qHAAS,na
a0g09000001F4tHAAS,fixpreis
a0g09000001F4tLAAS,fixpreis
a0g09000001F4tLAAS,fixpreis
a0g09000001F4tIAAS,fixpreis
a0g09000001F4qIAAS,not applicable - stock correction
a0g09000001F4u6AAC,not applicable - stock correction
a0g09000001F4tYAAS,not applicable - stock correction
a0g09000001F4tYAAS,not applicable - stock correction
a0g9N00000005fuQAA,not applicable - correction
